AGP	LEMG	Málaga-Costa del Sol Airport	Málaga	36.6749	-4.49911
AGR	VIAG	Agra Airport / Agra Air Force Station	Agra	27.157975	77.961025
AGS	KAGS	Augusta Regional At Bush Field	Augusta	33.3699	-81.9645
AGT	SGES	Guaraní International Airport	Ciudad del Este	-25.457186	-54.839544
AGU	MMAS	Aguascalientes International Airport	Aguascalientes	21.699589	-102.318372
AGX	VOAT	Agatti Airport	Agatti	10.8237	72.176003
AHA	VEAP	Maa Mahamaya Airport	Ambikapur	22.98753	83.19612
AHB	OEAB	Abha International Airport	Abha	18.2404	42.656601
AHE	NTHE	Ahe Airport	Ahe Atoll	-14.428099632263184	-146.2570037841797
AHO	LIEA	Alghero-Fertilia Airport	Alghero	40.632099	8.29077
AIA	KAIA	Alliance Municipal Airport	Alliance	42.052543	-102.803965
AIN	PAWI	Wainwright Airport	Wainwright	70.638	-159.994995
AIP	VIAX	Adampur Airport	Adampur	31.4338	75.758797
AIT	NCAI	Aitutaki Airport	Aitutaki	-18.8309	-159.764008
AIU	NCAT	Enua Airport	Atiu Island	-19.96780014038086	-158.11900329589844
AJA	LFKJ	Ajaccio Napoléon Bonaparte airport	Ajaccio	41.923599	8.80292
AJF	OESK	Al-Jawf International Airport	Al-Jawf	29.783301	40.100905
AJI	LTCO	Ağrı Airport	Ağrı	39.655642	43.025742
AJL	VELP	Lengpui Airport	Aizawl (Lengpui)	23.840599	92.619698
AJN	FMCV	Ouani Airport	Ouani	-12.131047	44.430044
AJR	ESNX	Arvidsjaur Airport	Arvidsjaur	65.59030151367188	19.28190040588379
AJU	SBAR	Aracaju - Santa Maria Airport	Aracaju	-10.98394	-37.072873
AKA	ZLAK	Ankang Fuqiang Airport	Ankang (Hanbin)	32.75696	108.87338
AKB	PAAK	Atka Airport	Atka	52.220299	-174.205994
AKF	HLKF	Kufra Airport	Kufra	24.178699493408203	23.31399917602539
AKI	PFAK	Akiak Airport	Akiak	60.902646	-161.23106
AKJ	RJEC	Asahikawa Airport	Higashikagura	43.670799	142.447006
AKK	PAKH	Akhiok Airport	Akhiok	56.938702	-154.182999
AKL	NZAA	Auckland International Airport	Auckland	-37.01199	174.786331
AKN	PAKN	King Salmon Airport	King Salmon	58.677845	-156.651965
